1,"The tree of Coffea arabica will grow fruits after three to five years, and will produce for about 50 to 60 years (although up to 100 years is possible). The white flowers are highly scented. The fruit takes about 9 months to ripen.",How long does it take for a coffee tree to produce?
2,"Although camel is metaphorically described as the ship of the desert on account of its ability to negotiate the difficult terrain of long sand dunes for a long period of time without food or water, it cannot however swim in water. No, but they can float.",Can camels swim in water?
3,"As we get older, the pigment cells in our hair follicles gradually die. When there are fewer pigment cells in a hair follicle, that strand of hair will no longer contain as much melanin and will become a more transparent color — like gray, silver, or white — as it grows.",Why does your hair turn white when you get older?
4,"Giant Jupiter is almost three times heavier than all the other eight planets put together. This sounds like a simple, .straightforward answer to the question, but there is more to it. Jupiter is 1,318 times . to an equal volume of water.",Which planet is the heaviest?
5,"The Nobel Prize and Prize in Economic Sciences have been awarded to women 47 times between 1901 and 2014. Only one woman, Marie Curie, has been honoured twice, with the 1903 Nobel Prize in Physics and the 1911 Nobel Prize in Chemistry.",How many women have won the Nobel Prize?
6,"According to the Food Safety and Inspection Service of the U.S. Department of Agriculture, eggs in the shell will maintain freshness for three to five weeks beyond the carton''s stamped expiration date, provided that you keep them refrigerated at a temperature of about 40 degrees Fahrenheit.",Can you eat eggs after the expiration date?
7,"Thomas Edison was an inventor who accumulated 2,332 patents worldwide for his inventions. 1,093 of Edison''s patents were in the United States, but other patents were approved in countries around the globe.",How many patents Thomas Edison had?
8,"The name '"England'" is derived from the Old English name Englaland, which means '"land of the Angles'". The Angles were one of the Germanic tribes that settled in Great Britain during the Early Middle Ages. The Angles came from the Angeln peninsula in the Bay of Kiel area of the Baltic Sea.",Where does the name of England come from?
9,"Cats, dogs, and many nocturnal creatures appear to have glowing eyes because the back of their eyeballs include a special reflective layer called the tapetum lucidum. This helps animals (cats in this case) see better in low light by working like a mirror on the retina to reflect the light back through the eyes, giving",Why do cats eyes glow at night?
10,"This is evidence that humans are related to every other species on Earth. The genes of organisms that look very different are surprisingly similar. For example, human DNA sequences are over 95% identical to chimpanzee sequences and around 50% identical to banana sequences.",What percentage of DNA do humans share with bananas?
